at,atgdlast10,atgdlast20,atgdlast5,atwinslast20,atwinslat10,atwinslat5,ht,htgdlast10,htgdlast20,htgdlast5,htwinslast20,htwinslat10,htwinslat5,result,versuslast5
Real Madrid,6.0,25.0,3.0,9.5,4.0,2.5,Barcelona,-2.0,6.0,-4.0,5.0,1.5,0.0,A,0.0
Malaga,5.0,-8.0,5.0,-2.0,1.5,1.5,La Coruna,4.0,10.0,0.0,5.5,3.5,2.5,H,2.5
Celta,0.0,-5.0,-2.0,4.0,1.5,1.0,Osasuna,3.0,11.0,0.0,7.5,3.0,0.5,H,-1.0
Valladolid,0.0,-2.0,4.0,7.5,3.0,3.5,Mallorca,-1.0,-6.0,2.0,2.0,0.5,2.0,H,0.0
Ath Bilbao,1.0,4.0,-1.0,5.5,3.0,0.5,Valencia,11.0,16.0,5.0,5.5,3.5,2.0,H,2.0
Barcelona,-3.0,5.0,-5.0,4.5,1.0,-0.5,Espanol,-14.0,-20.0,-4.0,-4.0,-4.0,-2.0,A,-0.5
Sociedad,-11.0,-3.0,-6.0,2.5,0.0,0.0,Villarreal,-4.0,0.0,-1.0,3.0,0.5,0.5,H,0.0
Mallorca,2.0,-3.0,8.0,3.0,2.5,3.0,Malaga,3.0,-7.0,2.0,-3.0,0.5,-0.5,H,0.5
La Coruna,6.0,9.0,1.0,6.5,5.5,3.0,Real Madrid,9.0,26.0,1.0,9.0,5.0,1.5,H,1.0
Valladolid,4.0,-3.0,1.0,6.0,3.5,1.5,Sociedad,-13.0,-6.0,-7.0,0.5,-1.5,0.0,A,2.0
Celta,-1.0,-1.0,-2.0,4.0,1.0,0.0,Barcelona,0.0,8.0,-4.0,4.5,1.0,-1.5,D,0.0
Espanol,-15.0,-22.0,-5.0,-4.5,-3.0,-1.0,La Coruna,1.0,9.0,-1.0,5.5,3.5,1.0,H,1.0
Real Madrid,9.0,23.0,5.0,9.0,5.0,3.5,Mallorca,0.0,-6.0,3.0,2.0,1.0,1.0,A,1.5
La Coruna,0.0,13.0,0.0,7.5,4.5,1.5,Celta,1.0,-4.0,0.0,3.5,1.5,0.5,A,1.0
Osasuna,1.0,10.0,1.0,7.0,2.0,2.0,Ath Bilbao,-2.0,1.0,-1.0,4.5,1.0,1.0,D,0.5
Mallorca,-1.0,-6.0,0.0,2.0,2.0,1.0,Espanol,-12.0,-25.0,-7.0,-6.5,-3.0,-3.0,H,0.0
Sociedad,-13.0,-10.0,-8.0,0.5,-0.5,0.0,Malaga,7.0,2.0,4.0,-1.0,1.5,0.0,A,-1.0
Villarreal,2.0,0.0,3.0,4.0,2.0,1.5,Valencia,7.0,20.0,4.0,7.5,3.5,3.5,H,2.0
Celta,-8.0,-9.0,-6.0,3.0,1.5,0.5,Mallorca,-1.0,-8.0,-3.0,0.5,1.0,-1.0,A,-1.0
Real Madrid,8.0,25.0,7.0,9.5,5.0,3.0,Sociedad,-13.0,-9.0,-7.0,0.0,-1.5,-0.5,H,0.0
Valladolid,5.0,1.0,1.0,6.0,4.0,0.5,Villarreal,0.0,-2.0,0.0,2.5,0.5,0.5,H,0.5
Ath Bilbao,-4.0,-3.0,-3.0,2.5,0.5,0.0,Barcelona,-3.0,3.0,1.0,4.0,0.5,0.5,D,0.5
Valencia,11.0,25.0,6.0,8.0,5.0,3.0,Valladolid,3.0,-3.0,-1.0,4.0,2.5,-1.0,D,0.5
Real Madrid,7.0,20.0,4.0,8.5,3.5,1.0,Betis,1.0,5.0,4.0,1.5,0.5,1.5,D,-0.5
Zaragoza,-2.0,-6.0,-4.0,-1.0,-1.5,-1.5,La Coruna,6.0,18.0,6.0,8.0,4.0,1.5,H,1.0
Santander,-3.0,-3.0,-1.0,3.5,1.5,1.5,Mallorca,-5.0,-10.0,-7.0,0.0,1.0,-1.0,D,-0.5
Espanol,-6.0,-19.0,-2.0,-5.0,-2.0,-1.0,Sociedad,-8.0,-7.0,-6.0,2.0,0.5,0.0,H,1.5
Malaga,3.0,-2.0,-2.0,-2.0,0.5,-1.0,Villarreal,4.0,0.0,4.0,3.0,2.5,1.5,H,-0.5
Villarreal,5.0,5.0,6.0,4.0,2.5,2.0,Real Madrid,4.0,18.0,3.0,8.0,3.0,1.5,H,1.5
La Coruna,9.0,20.0,8.0,8.0,4.5,1.5,Ath Bilbao,-1.0,-1.0,-2.0,4.0,2.0,1.5,H,-0.5
Sociedad,-6.0,-8.0,0.0,2.0,1.0,1.0,Celta,-5.0,-6.0,-3.0,3.5,1.5,1.5,A,1.0
Betis,2.0,2.0,0.0,2.0,1.0,2.0,Espanol,-6.0,-20.0,-2.0,-5.0,-3.0,-1.0,A,-0.5
Valladolid,1.0,-3.0,0.0,4.0,2.0,0.5,Malaga,-1.0,-3.0,-3.0,-2.0,-1.5,-1.0,A,0.0
Barcelona,-3.0,1.0,2.0,3.5,0.5,1.0,Sevilla,5.0,4.0,-1.0,3.5,-0.5,-1.5,A,-0.5
Osasuna,1.0,5.0,-1.0,7.5,4.5,2.0,Valencia,6.0,22.0,5.0,8.5,5.5,2.5,A,1.0
Mallorca,0.0,-11.0,-8.0,-0.5,1.5,-1.5,Zaragoza,-7.0,-9.0,-6.0,-2.5,-2.5,-1.5,A,-0.5
Celta,-8.0,-9.0,-6.0,3.0,1.0,1.0,Betis,4.0,4.0,2.0,3.0,2.0,2.0,H,0.0
Valencia,6.0,21.0,3.0,8.0,5.5,2.5,Malaga,-3.0,-4.0,-6.0,-2.5,-1.5,-2.0,A,-2.5
Sevilla,1.0,2.0,-1.0,2.5,-1.5,-0.5,La Coruna,7.0,18.0,8.0,7.0,2.5,1.5,H,2.0
Ath Bilbao,-1.0,1.0,-2.0,5.0,2.0,1.5,Mallorca,-1.0,-8.0,-4.0,0.5,0.5,-0.5,A,0.5
Santander,-4.0,-2.0,4.0,4.0,3.0,3.5,Sociedad,-2.0,-5.0,5.0,1.5,2.0,2.0,H,1.5
Real Madrid,8.0,18.0,3.0,8.0,5.0,1.5,Valladolid,2.0,-2.0,1.0,3.5,1.5,0.0,A,-0.5
Espanol,-6.0,-21.0,-1.0,-5.5,-2.0,-1.0,Villarreal,5.0,4.0,3.0,2.5,2.5,0.0,A,0.0
Malaga,-8.0,-8.0,-12.0,-1.5,-2.0,-2.0,Real Madrid,8.0,19.0,2.0,7.5,4.0,1.5,H,1.5
Villarreal,3.0,3.0,0.0,2.0,1.5,0.0,Celta,-7.0,-10.0,-7.0,1.5,0.0,-0.5,H,0.0
Valladolid,-1.0,-4.0,-2.0,2.5,0.5,0.0,Espanol,-6.0,-20.0,1.0,-6.0,-3.0,0.0,H,1.0
Barcelona,3.0,6.0,6.0,4.0,1.5,1.5,Osasuna,2.0,5.0,1.0,8.0,4.0,2.0,A,1.0
Mallorca,-4.0,-12.0,-4.0,-0.5,0.5,-0.5,Sevilla,1.0,1.0,-1.0,1.0,-1.5,-0.5,H,1.5
Sociedad,0.0,-4.0,8.0,2.0,3.0,3.0,Zaragoza,-11.0,-9.0,-9.0,-2.5,-4.0,-2.5,H,-0.5
